customer_id,age,annual_income,spending_score,purchase_frequency,avg_order_value,last_purchase_days
CUST_0001,43,84087,41,13,82,26
CUST_0002,36,63245,52,32,161,16
CUST_0003,45,37638,39,2,104,4
CUST_0004,56,24632,48,27,57,10
CUST_0005,35,55211,17,4,85,119
CUST_0006,35,45985,59,3,63,14
CUST_0007,56,62138,55,2,74,7
CUST_0008,47,53162,38,2,60,24
CUST_0009,32,68168,68,9,66,14
CUST_0010,44,26340,73,4,83,1
CUST_0011,32,80052,22,2,40,15
CUST_0012,32,40886,39,7,40,31
CUST_0013,40,126141,39,2,35,32
CUST_0014,22,24016,36,6,35,17
CUST_0015,22,102906,71,3,35,23
CUST_0016,31,40894,51,13,81,120
CUST_0017,25,24566,49,13,43,18
CUST_0018,41,27164,15,5,100,11
CUST_0019,27,29965,67,3,75,11
CUST_0020,22,46840,30,3,35,24
CUST_0021,55,49697,56,13,109,57
CUST_0022,35,25739,60,3,119,9
CUST_0023,38,35788,82,2,40,49
CUST_0024,22,131316,28,2,94,1
CUST_0025,31,102388,15,5,44,21
CUST_0026,39,47183,58,5,78,59
CUST_0027,24,37153,91,14,35,16
CUST_0028,42,39027,79,2,35,33
CUST_0029,30,52475,59,3,58,9
CUST_0030,34,20000,45,13,68,54
CUST_0031,30,31119,71,13,58,2
CUST_0032,60,20000,35,3,36,76
CUST_0033,37,46144,64,4,57,8
CUST_0034,25,53547,65,2,86,82
CUST_0035,47,27175,76,21,71,17
CUST_0036,23,93376,95,2,82,51
CUST_0037,40,20000,62,21,49,15
CUST_0038,22,20000,44,9,148,94
CUST_0039,22,41550,54,6,36,5
CUST_0040,40,68067,19,2,98,7
CUST_0041,46,99743,41,5,149,27
CUST_0042,40,27575,46,4,98,3
CUST_0043,36,69369,44,2,65,8
CUST_0044,34,35486,58,8,53,115
CUST_0045,22,32742,38,28,137,120
CUST_0046,29,61709,77,6,35,18
CUST_0047,32,53712,55,10,41,102
CUST_0048,50,20000,54,2,58,31
CUST_0049,42,88073,48,4,154,12
CUST_0050,22,83121,58,2,92,48
CUST_0051,41,24950,71,7,41,43
CUST_0052,33,46049,37,22,61,120
CUST_0053,29,48845,41,8,50,12
CUST_0054,45,42463,48,2,48,44
CUST_0055,50,26103,28,3,132,2
CUST_0056,49,24270,38,6,35,4
CUST_0057,27,35762,45,4,193,1
CUST_0058,34,73396,72,14,121,120
CUST_0059,41,50320,60,13,141,64
CUST_0060,49,29074,58,7,55,61
CUST_0061,32,57700,72,3,67,28
CUST_0062,35,20000,52,2,35,14
CUST_0063,24,72349,62,2,53,6
CUST_0064,23,20000,52,3,99,13
CUST_0065,47,29217,60,4,160,18
CUST_0066,54,20000,43,9,37,56
CUST_0067,37,20000,15,8,59,31
CUST_0068,50,72874,52,2,67,3
