customer_id,age,annual_income,spending_score,purchase_frequency,avg_order_value,last_purchase_days,preferred_category,engagement_level
CUST_00001,40,38143,70,3,47,32,Toys,Low
CUST_00002,33,35169,26,8,28,122,Electronics,Low
CUST_00003,42,58448,61,5,34,33,Electronics,Medium
CUST_00004,53,78152,37,2,61,5,Toys,Medium
CUST_00005,32,51196,43,1,69,28,Home & Garden,Low
CUST_00006,32,60220,50,2,151,9,Clothing,High
CUST_00007,53,32574,47,6,99,46,Clothing,Medium
CUST_00008,44,38665,16,8,179,32,Clothing,Medium
CUST_00009,29,76333,77,1,107,12,Toys,Medium
CUST_00010,41,47256,72,4,52,1,Electronics,Low
CUST_00011,29,32176,47,1,101,12,Toys,Medium
CUST_00012,29,36911,68,1,80,4,Toys,Medium
CUST_00013,37,60996,42,11,166,25,Books,Medium
CUST_00014,18,63774,30,1,114,5,Electronics,Low
CUST_00015,18,23835,51,1,79,9,Books,Low
CUST_00016,28,43533,26,1,146,1,Sports,Medium
CUST_00017,22,36173,62,7,55,27,Electronics,Medium
CUST_00018,38,35144,35,1,156,62,Electronics,High
CUST_00019,24,70626,17,8,80,21,Electronics,Low
CUST_00020,18,32248,1,1,119,40,Clothing,Low
CUST_00021,52,27233,47,1,48,2,Clothing,Low
CUST_00022,32,24161,56,3,37,48,Books,Medium
CUST_00023,35,33280,76,3,141,5,Books,Medium
CUST_00024,18,25144,15,6,234,81,Electronics,Low
CUST_00025,28,23567,70,4,51,89,Books,Low
CUST_00026,36,23272,40,2,42,11,Clothing,Low
CUST_00027,21,23974,48,2,184,43,Toys,Medium
CUST_00028,39,24824,50,8,76,211,Toys,Medium
CUST_00029,27,44334,49,12,347,4,Toys,Low
CUST_00030,31,15000,9,3,199,49,Books,Medium
CUST_00031,27,25568,64,8,114,53,Sports,Medium
CUST_00032,57,34542,66,5,127,9,Clothing,Medium
CUST_00033,34,64493,69,1,53,14,Sports,High
CUST_00034,22,32113,59,5,141,15,Books,High
CUST_00035,44,33635,45,1,43,37,Home & Garden,High
CUST_00036,20,34753,20,3,119,2,Electronics,High
CUST_00037,37,15000,58,4,349,19,Clothing,Medium
CUST_00038,18,50490,50,1,104,32,Toys,Medium
CUST_00039,19,49449,49,6,119,3,Sports,Low
CUST_00040,37,54570,58,4,249,18,Home & Garden,High
CUST_00041,43,127124,49,5,27,19,Home & Garden,Low
CUST_00042,37,18972,41,2,228,1,Clothing,High
CUST_00043,33,17257,26,2,83,77,Clothing,Low
CUST_00044,31,51685,49,3,195,11,Home & Garden,High
CUST_00045,18,30676,79,3,20,32,Electronics,Medium
CUST_00046,26,22185,27,9,203,33,Electronics,Low
CUST_00047,29,31530,70,2,73,11,Sports,Low
CUST_00048,47,26657,64,6,168,16,Electronics,Medium
CUST_00049,39,86024,15,16,29,6,Home & Garden,Medium
CUST_00050,18,112522,62,6,109,11,Home & Garden,Low
CUST_00051,38,16030,50,1,15,44,Books,Medium
CUST_00052,30,17356,48,9,169,84,Home & Garden,Medium
CUST_00053,26,24842,89,10,141,9,Electronics,High
CUST_00054,42,25725,68,1,58,40,Toys,Low
CUST_00055,47,24645,31,2,20,54,Sports,Low
CUST_00056,46,32954,62,1,152,84,Books,Low
CUST_00057,24,29044,31,14,49,21,Electronics,Medium
CUST_00058,31,18456,32,1,56,17,Sports,Low
CUST_00059,38,21733,53,2,96,3,Electronics,Low
CUST_00060,46,78681,73,1,145,2,Books,High
CUST_00061,29,30371,20,1,36,15,Home & Garden,Low
CUST_00062,32,29604,39,6,13,35,Toys,High
CUST_00063,21,16979,73,2,210,23,Books,High
CUST_00064,20,28807,31,5,70,3,Home & Garden,Low
CUST_00065,44,58715,50,2,93,1,Books,Low
CUST_00066,51,48911,43,3,77,29,Clothing,Medium
CUST_00067,34,54477,75,3,90,4,Toys,High
CUST_00068,47,19894,56,3,106,43,Electronics,Low
CUST_00069,39,19735,44,11,58,39,Electronics,Medium
CUST_00070,27,64005,33,5,128,41,Toys,Low
CUST_00071,39,54892,92,1,139,44,Clothing,Medium
CUST_00072,53,31912,48,4,225,12,Home & Garden,Low
CUST_00073,34,55632,45,17,115,24,Electronics,High
CUST_00074,53,19900,59,2,64,109,Clothing,Medium
CUST_00075,18,19492,64,1,28,42,Electronics,Medium
CUST_00076,44,16175,21,2,131,62,Sports,Low
CUST_00077,36,43509,46,1,113,48,Home & Garden,Medium
CUST_00078,31,40471,28,5,55,5,Sports,Medium
CUST_00079,36,27967,38,3,64,3,Toys,High
