customer_id,age,annual_income,spending_score,purchase_frequency,avg_order_value,last_purchase_days,preferred_category,engagement_level
CUST_00001,40,25867,56,8,146,70,Toys,Low
CUST_00002,33,31171,55,10,108,2,Electronics,Low
CUST_00003,42,26938,31,2,23,17,Electronics,Medium
CUST_00004,53,38376,61,2,67,4,Toys,Low
CUST_00005,32,66077,20,4,81,49,Home & Garden,Low
CUST_00006,32,24698,36,1,93,28,Clothing,Low
CUST_00007,53,59898,10,5,35,63,Clothing,Low
CUST_00008,44,24567,81,7,52,1,Clothing,Low
CUST_00009,29,23770,45,2,58,70,Toys,Medium
CUST_00010,41,54682,93,1,61,2,Electronics,High
CUST_00011,29,57582,66,1,62,10,Toys,Medium
CUST_00012,29,55587,58,5,82,5,Toys,Medium
CUST_00013,37,18809,38,1,111,4,Books,High
CUST_00014,18,28768,29,3,311,5,Electronics,Medium
CUST_00015,18,54802,60,2,165,19,Books,Medium
CUST_00016,28,37077,48,1,226,46,Sports,High
CUST_00017,22,21229,23,3,64,68,Electronics,High
CUST_00018,38,45668,19,3,44,25,Electronics,Low
CUST_00019,24,25402,30,4,157,5,Electronics,High
CUST_00020,18,89077,86,1,89,2,Clothing,Medium
CUST_00021,52,78623,94,1,150,20,Clothing,Medium
CUST_00022,32,49121,54,8,48,43,Books,High
CUST_00023,35,71718,52,6,141,29,Books,Medium
CUST_00024,18,37511,43,7,79,26,Electronics,Medium
CUST_00025,28,53248,31,1,65,1,Books,High
CUST_00026,36,76028,77,1,69,15,Clothing,Low
CUST_00027,21,41058,87,4,126,23,Toys,Medium
CUST_00028,39,31965,32,9,154,27,Toys,High
CUST_00029,27,15485,48,11,69,1,Toys,High
CUST_00030,31,34836,41,8,114,6,Books,High
CUST_00031,27,54814,41,1,114,89,Sports,Medium
CUST_00032,57,58268,73,8,150,21,Clothing,Medium
CUST_00033,34,46731,23,11,179,36,Sports,Medium
CUST_00034,22,27704,59,1,319,11,Books,Medium
CUST_00035,44,15000,64,2,64,26,Home & Garden,High
CUST_00036,20,28350,47,3,250,13,Electronics,Low
CUST_00037,37,31189,67,1,97,10,Clothing,Medium
CUST_00038,18,31055,52,3,41,15,Toys,Medium
CUST_00039,19,49477,74,10,57,18,Sports,Low
CUST_00040,37,98011,19,10,124,12,Home & Garden,Medium
CUST_00041,43,38629,43,14,149,8,Home & Garden,High
CUST_00042,37,32585,48,3,44,29,Clothing,High
CUST_00043,33,31900,1,2,52,14,Clothing,Medium
CUST_00044,31,38645,28,5,61,6,Home & Garden,High
CUST_00045,18,24001,33,2,49,42,Electronics,High
CUST_00046,26,38564,68,1,24,38,Electronics,Low
CUST_00047,29,45497,35,6,19,65,Sports,Low
CUST_00048,47,40329,33,1,68,24,Electronics,High
CUST_00049,39,45650,66,1,107,9,Home & Garden,Low
CUST_00050,18,45110,17,1,142,59,Home & Garden,Medium
CUST_00051,38,15000,8,13,34,9,Books,Medium
CUST_00052,30,49932,42,1,35,31,Home & Garden,High
CUST_00053,26,25964,21,2,62,6,Electronics,Medium
CUST_00054,42,20995,21,15,90,29,Toys,High
CUST_00055,47,20905,61,3,182,55,Sports,High
CUST_00056,46,45106,67,1,148,23,Books,High
CUST_00057,24,32490,65,4,69,19,Electronics,High
CUST_00058,31,15662,72,1,115,150,Sports,Low
CUST_00059,38,46120,74,1,49,1,Electronics,High
CUST_00060,46,17680,7,9,94,12,Books,Medium
CUST_00061,29,38945,59,1,86,75,Home & Garden,Medium
CUST_00062,32,40914,39,5,240,30,Toys,High
CUST_00063,21,56544,35,3,127,23,Books,Low
CUST_00064,20,88507,61,1,52,30,Home & Garden,High
CUST_00065,44,18355,15,3,52,11,Books,High
CUST_00066,51,35375,14,1,71,2,Clothing,High
CUST_00067,34,31629,62,2,30,9,Toys,High
CUST_00068,47,45110,59,3,76,12,Electronics,Low
CUST_00069,39,40450,52,1,81,19,Electronics,Medium
CUST_00070,27,30446,32,5,124,15,Toys,High
CUST_00071,39,29130,64,1,138,22,Clothing,Low
CUST_00072,53,20780,63,3,96,6,Home & Garden,High
CUST_00073,34,59511,51,6,28,6,Electronics,Low
CUST_00074,53,45688,26,2,38,13,Clothing,Medium
CUST_00075,18,57462,41,10,58,19,Electronics,Low
CUST_00076,44,31094,66,5,142,12,Sports,Low
CUST_00077,36,26149,76,15,138,25,Home & Garden,Medium
CUST_00078,31,21180,43,1,75,11,Sports,Medium
CUST_00079,36,43454,45,13,469,5,Toys,Low
CUST_00080,18,21592,46,4,268,59,Home & Garden,Low
CUST_00081,32,91521,55,6,214,6,Clothing,Medium
CUST_00082,39,18886,38,11,147,102,Home & Garden,High
CUST_00083,52,41640,1,4,124,131,Home & Garden,Low
CUST_00084,28,79493,73,9,117,35,Clothing,Medium
CUST_00085,25,48998,85,3,25,20,Toys,Medium
CUST_00086,28,39649,37,4,43,47,Home & Garden,High
CUST_00087,45,22376,28,2,77,61,Toys,Low
CUST_00088,38,18198,47,1,98,37,Toys,Low
CUST_00089,28,53371,46,4,82,3,Toys,Low
CUST_00090,41,77116,69,18,108,1,Electronics,High
CUST_00091,36,29160,51,7,20,6,Books,High
CUST_00092,46,20546,34,6,128,6,Toys,High
CUST_00093,26,15000,23,5,94,6,Clothing,High
CUST_00094,31,22239,67,2,78,21,Books,Low
CUST_00095,30,34309,61,1,172,22,Toys,Low
CUST_00096,18,80786,71,1,43,38,Clothing,High
CUST_00097,38,50846,30,1,76,6,Clothing,Medium
CUST_00098,38,42300,86,5,109,2,Sports,Medium
CUST_00099,35,29730,15,8,49,32,Sports,Medium
CUST_00100,32,27130,64,1,22,19,Home & Garden,Low
CUST_00101,18,73337,11,1,40,32,Toys,High
CUST_00102,29,40149,34,2,86,14,Toys,Medium
CUST_00103,30,15000,81,1,75,41,Books,Medium
CUST_00104,25,25931,66,2,88,34,Clothing,Medium
CUST_00105,33,23644,39,1,56,31,Toys,High
CUST_00106,39,27635,39,2,35,1,Home & Garden,Medium
CUST_00107,57,48120,52,11,99,58,Electronics,Low
CUST_00108,37,34416,60,2,80,14,Clothing,Low
CUST_00109,38,34946,75,7,140,4,Electronics,Low
CUST_00110,34,70034,40,4,53,42,Home & Garden,Medium
CUST_00111,18,25636,17,2,21,19,Sports,Medium
CUST_00112,34,92235,53,8,14,1,Home & Garden,High
CUST_00113,35,25960,40,4,67,45,Electronics,High
CUST_00114,64,37971,23,1,98,17,Clothing,Medium
CUST_00115,32,31552,55,1,76,42,Books,High
CUST_00116,38,38627,45,6,60,42,Toys,High
CUST_00117,34,45355,56,2,29,3,Home & Garden,High
CUST_00118,20,45112,32,2,23,28,Clothing,Low
CUST_00119,48,24920,59,1,116,13,Toys,Low
CUST_00120,44,20713,23,1,76,23,Sports,Medium
CUST_00121,44,126954,33,7,69,2,Sports,High
CUST_00122,24,28509,45,8,30,26,Toys,Medium
CUST_00123,51,51513,84,4,45,45,Sports,High
CUST_00124,18,16255,65,1,92,129,Clothing,High
CUST_00125,42,31577,71,13,109,11,Home & Garden,Medium
CUST_00126,61,34077,78,4,80,5,Clothing,Low
CUST_00127,23,46000,100,7,236,13,Clothing,Low
CUST_00128,28,15000,50,1,60,1,Toys,High
CUST_00129,36,39461,78,2,221,15,Books,High
CUST_00130,28,20437,70,10,104,73,Books,Medium
CUST_00131,18,42709,69,2,97,6,Home & Garden,Low
CUST_00132,35,21629,85,6,172,19,Toys,Low
CUST_00133,22,23676,41,5,58,25,Books,Low
CUST_00134,40,31671,40,1,71,5,Sports,Medium
CUST_00135,23,21457,56,7,38,12,Books,Medium
CUST_00136,53,28630,46,1,173,72,Sports,High
CUST_00137,25,19996,56,6,113,10,Home & Garden,High
CUST_00138,31,15000,81,23,194,30,Clothing,Medium
CUST_00139,44,60414,40,15,103,4,Clothing,High
CUST_00140,20,18995,43,8,194,33,Books,High
CUST_00141,37,33211,53,3,53,9,Sports,High
CUST_00142,50,52915,45,5,179,7,Electronics,Medium
CUST_00143,18,26702,11,6,68,3,Electronics,Medium
CUST_00144,37,24038,38,1,90,1,Electronics,Low
CUST_00145,38,40664,63,1,149,103,Clothing,High
CUST_00146,44,63510,78,4,459,16,Toys,High
CUST_00147,20,20238,26,1,159,45,Clothing,Low
CUST_00148,19,33688,26,11,170,75,Toys,Low
CUST_00149,41,15271,50,3,61,6,Sports,Medium
CUST_00150,38,29833,8,1,100,61,Books,Medium
CUST_00151,38,36941,41,2,84,36,Electronics,Low
CUST_00152,39,23687,15,9,241,25,Sports,High
CUST_00153,26,28897,77,13,81,49,Sports,Low
CUST_00154,37,17959,34,1,228,3,Books,Medium
CUST_00155,38,37742,83,7,36,9,Sports,High
CUST_00156,26,61564,72,4,239,4,Books,High
CUST_00157,57,20982,37,4,49,67,Home & Garden,Medium
CUST_00158,40,26599,28,7,163,3,Books,High
CUST_00159,20,46689,46,1,49,117,Electronics,High
CUST_00160,42,66572,47,3,138,3,Toys,Low
CUST_00161,23,17212,56,1,45,32,Toys,Low
CUST_00162,44,33376,34,1,185,32,Electronics,Medium
CUST_00163,48,41838,64,1,162,80,Toys,High
CUST_00164,25,34508,55,1,59,11,Books,High
CUST_00165,46,15000,43,4,134,12,Home & Garden,Low
CUST_00166,39,46655,35,1,174,56,Toys,Medium
CUST_00167,44,77626,46,4,47,115,Home & Garden,High
CUST_00168,57,38496,33,4,43,1,Electronics,Low
CUST_00169,32,21686,51,11,42,30,Home & Garden,High
CUST_00170,25,28097,51,4,38,8,Sports,Medium
CUST_00171,24,87988,55,21,42,39,Clothing,Low
CUST_00172,25,57238,85,1,171,44,Sports,Medium
CUST_00173,34,50011,47,6,133,43,Electronics,High
CUST_00174,39,43399,70,1,27,17,Toys,High
CUST_00175,38,26093,54,6,62,5,Toys,High
CUST_00176,44,32850,45,2,40,26,Home & Garden,High
CUST_00177,35,34927,47,4,164,46,Books,Low
CUST_00178,52,47800,48,1,65,72,Clothing,High
