customer_id,age,annual_income,spending_score,purchase_frequency,avg_order_value,last_purchase_days,preferred_category,engagement_level
CUST_00001,40,73106,36,8,102,19,Toys,Low
CUST_00002,33,57659,47,20,224,12,Electronics,Medium
CUST_00003,42,37414,34,1,135,3,Electronics,Low
CUST_00004,53,26279,43,17,67,8,Toys,Low
CUST_00005,32,51488,12,2,107,89,Home & Garden,Medium
CUST_00006,32,44211,54,2,76,10,Clothing,Medium
CUST_00007,53,56817,50,1,90,5,Clothing,Medium
CUST_00008,44,49890,33,1,71,18,Clothing,Low
CUST_00009,29,61376,63,5,80,11,Toys,Medium
CUST_00010,41,27788,68,3,104,1,Electronics,Low
CUST_00011,29,70171,17,1,44,11,Toys,Medium
CUST_00012,29,40086,34,4,44,23,Toys,Medium
CUST_00013,37,102501,34,1,34,24,Books,Medium
CUST_00014,18,25729,31,4,29,13,Electronics,High
CUST_00015,18,86507,66,2,38,17,Books,Medium
CUST_00016,28,40092,46,8,100,101,Sports,High
CUST_00017,22,26220,44,8,48,14,Electronics,Medium
CUST_00018,38,28511,9,3,128,8,Electronics,Medium
CUST_00019,24,30940,62,2,92,8,Electronics,Medium
CUST_00020,18,44895,25,2,22,18,Clothing,Low
CUST_00021,52,47165,51,8,142,42,Clothing,Medium
CUST_00022,32,27259,55,1,158,6,Books,Medium
CUST_00023,35,35875,77,1,44,37,Books,Medium
CUST_00024,18,105993,23,1,120,1,Electronics,Low
CUST_00025,28,86143,1,3,49,16,Books,Low
CUST_00026,36,45168,53,3,96,44,Clothing,High
CUST_00027,21,37012,86,9,37,12,Toys,Medium
CUST_00028,39,38561,74,1,25,24,Toys,Low
CUST_00029,27,49353,54,2,68,6,Toys,Medium
CUST_00030,31,21776,40,8,82,40,Books,Medium
CUST_00031,27,31930,66,8,68,1,Sports,High
CUST_00032,57,15767,30,2,39,57,Clothing,Low
CUST_00033,34,44338,59,3,68,6,Sports,Low
CUST_00034,22,50191,60,1,108,62,Books,High
CUST_00035,44,28521,71,13,87,13,Home & Garden,Low
CUST_00036,20,79777,100,1,102,38,Electronics,Low
CUST_00037,37,19675,57,13,56,11,Clothing,High
CUST_00038,18,17462,39,5,204,70,Toys,Medium
CUST_00039,19,40628,49,3,39,4,Sports,Low
CUST_00040,37,61300,14,1,126,5,Home & Garden,Low
CUST_00041,43,84285,36,3,205,20,Home & Garden,Low
CUST_00042,37,28869,41,2,126,2,Clothing,Low
CUST_00043,33,62276,39,1,78,6,Clothing,High
CUST_00044,31,35622,53,5,62,86,Home & Garden,Medium
CUST_00045,18,33312,33,17,185,112,Electronics,High
CUST_00046,26,56490,72,4,33,14,Electronics,High
CUST_00047,29,50320,50,6,45,77,Sports,Medium
CUST_00048,47,16511,49,1,68,23,Electronics,Low
CUST_00049,39,75983,43,2,214,9,Home & Garden,Medium
CUST_00050,18,72406,53,1,117,36,Home & Garden,High
CUST_00051,38,26561,66,4,45,32,Books,High
CUST_00052,30,44262,32,13,72,135,Home & Garden,Low
CUST_00053,26,46491,36,5,58,9,Electronics,Medium
CUST_00054,42,41371,43,1,54,33,Toys,Medium
CUST_00055,47,27580,23,2,178,1,Sports,High
CUST_00056,46,25956,33,3,34,3,Books,Low
CUST_00057,24,35854,40,2,277,1,Electronics,Medium
CUST_00058,31,65275,67,8,160,225,Sports,High
CUST_00059,38,47657,55,8,193,48,Electronics,Medium
CUST_00060,46,30172,53,4,65,46,Books,Medium
CUST_00061,29,53415,67,2,81,21,Home & Garden,Low
CUST_00062,32,15000,47,1,33,10,Toys,Low
